2026-06-19 09:27:25.712 [main] INFO  Utils:112 - [TestNG] Running:
  C:\Users\danis\eclipse-workspace\opencart26\mastersuite.xml

2026-06-19 09:27:26.194 [main] INFO  TC_001_AccountRegistrationTest:75 - Launching browser: Chrome
2026-06-19 09:27:26.196 [main] INFO  TC_001_AccountRegistrationTest:198 - Connected to Selenium local env
2026-06-19 09:27:39.231 [main] INFO  TC_001_AccountRegistrationTest:233 - Starting Local Execution
2026-06-19 09:27:39.231 [main] INFO  TC_001_AccountRegistrationTest:235 - Browser : Chrome
2026-06-19 09:27:39.655 [main] INFO  TC_001_AccountRegistrationTest:293 - Opening URL
2026-06-19 09:27:46.532 [main] INFO  TC_001_AccountRegistrationTest:317 - URL = https://tutorialsninja.com/demo/
2026-06-19 09:27:46.536 [main] INFO  TC_001_AccountRegistrationTest:319 - Title = Your Store
2026-06-19 09:27:46.538 [main] INFO  TC_001_AccountRegistrationTest:321 - Browser : Chrome
2026-06-19 09:27:46.543 [main] INFO  TC_001_AccountRegistrationTest:325 - ReadyState = complete
2026-06-19 09:27:46.561 [main] INFO  TC_001_AccountRegistrationTest:339 - My Account Present = true
2026-06-19 09:27:51.717 [main] INFO  TC_001_AccountRegistrationTest:359 - Current URL: https://tutorialsninja.com/demo/
2026-06-19 09:27:51.722 [main] INFO  TC_001_AccountRegistrationTest:361 - Page Title: Your Store
2026-06-19 09:27:51.792 [main] INFO  TC_001_AccountRegistrationTest:37 - ********** Starting TC_001_AccountRegistrationTest **********
2026-06-19 09:27:51.816 [main] INFO  TC_001_AccountRegistrationTest:42 - Before Click My Account
2026-06-19 09:27:51.918 [main] INFO  TC_001_AccountRegistrationTest:44 - Clicked My Account
2026-06-19 09:27:52.577 [main] INFO  TC_001_AccountRegistrationTest:47 - Clicked Register
2026-06-19 09:27:52.580 [main] INFO  TC_001_AccountRegistrationTest:52 - Providing customer details
2026-06-19 09:27:56.346 [main] INFO  TC_001_AccountRegistrationTest:67 - Clicking Continue button
2026-06-19 09:27:56.347 [main] INFO  TC_001_AccountRegistrationTest:68 - Before Continue
2026-06-19 09:27:58.388 [main] INFO  TC_001_AccountRegistrationTest:70 - After Continue
2026-06-19 09:27:58.389 [main] INFO  TC_001_AccountRegistrationTest:71 - Validating confirmation message
2026-06-19 09:27:58.437 [main] INFO  TC_001_AccountRegistrationTest:81 - Test Passed
2026-06-19 09:27:58.438 [main] INFO  TC_001_AccountRegistrationTest:100 - ********** Finished TC_001_AccountRegistrationTest **********
2026-06-19 09:27:58.577 [main] INFO  TC_001_AccountRegistrationTest:382 - Closing browser
